ORDER_LINE_STATUS	ORDER_NUMBER	PLANNING_DATE	REQUESTED_DELIVERY_DATE	DEPARTURE_DATE	CUSTOMER_NUMBER	COUNTRY	CUSTOMERS_ORDER_NO	ORDER_LINE_DELIVERY_METHOD	ORDER_TYPE_CODE	ITEM_NUMBER	NAME	PROCUREMENT_GROUP_CODE	EAN_NUMBER	ORDER_LINE_NUMBER	WAREHOUSE	ORDERED_QUANTITY	NET_PRICE	PRICE	DELIVERY_NO
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104541D151.115	Adrenaline GTS 25	FTW	195394877977	28	408	1	50	50	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1204431B530.075	Adrenaline GTS 25	FTW	195394878745	29	408	1	50	50	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1204431B530.080	Adrenaline GTS 25	FTW	195394878752	30	408	1	50	50	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1204431B530.085	Adrenaline GTS 25	FTW	195394878769	31	408	1	50	50	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1204431B530.090	Adrenaline GTS 25	FTW	195394878776	32	408	1	50	50	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1204431B530.095	Adrenaline GTS 25	FTW	195394878783	33	408	1	50	50	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1204431B530.100	Adrenaline GTS 25	FTW	195394878790	34	408	1	50	50	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1204771B030.070	Cascadia 20 GTX	FTW	195394880649	35	408	1	69	69	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1204771B030.075	Cascadia 20 GTX	FTW	195394880656	36	408	1	69	69	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1204771B030.080	Cascadia 20 GTX	FTW	195394880663	37	408	1	69	69	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1204771B030.085	Cascadia 20 GTX	FTW	195394880670	38	408	1	69	69	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1204771B030.090	Cascadia 20 GTX	FTW	195394880687	39	408	1	69	69	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1000551D116.085	Cascadia Elite	FTW	195394819519	40	408	3	112,2	336,6	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1000551D116.090	Cascadia Elite	FTW	195394819526	41	408	6	112,2	673,2	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1000551D116.095	Cascadia Elite	FTW	195394819533	42	408	6	112,2	673,2	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1000551D116.100	Cascadia Elite	FTW	195394819540	43	408	9	112,2	1009,8	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1000551D116.105	Cascadia Elite	FTW	195394819557	44	408	9	112,2	1009,8	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1000551D116.110	Cascadia Elite	FTW	195394819564	45	408	9	112,2	1009,8	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1000551D116.115	Cascadia Elite	FTW	195394819571	46	408	6	112,2	673,2	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1000551D116.120	Cascadia Elite	FTW	195394819588	47	408	3	112,2	336,6	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931B172.080	Ghost 18	FTW	195394909098	48	408	2	47,3	94,6	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931B172.085	Ghost 18	FTW	195394909104	49	408	5	47,3	236,5	34586334
